  1.1616666666667E+00 -8.8383333333333E+00 -9.2906510206053E+00 -4.5231768727193E-01
  1.1633333333333E+00 -8.8366666666667E+00 -9.3088218978277E+00 -4.7215523116104E-01
  1.1650000000000E+00 -8.8350000000000E+00 -9.3269903023322E+00 -4.9199030233225E-01
  1.1666666666667E+00 -8.8333333333333E+00 -9.3451562345309E+00 -5.1182290119762E-01
  1.1683333333333E+00 -8.8316666666667E+00 -9.3633196948359E+00 -5.3165302816917E-01
  1.1700000000000E+00 -8.8300000000000E+00 -9.3814806836589E+00 -5.5148068365887E-01
  1.1716666666667E+00 -8.8283333333333E+00 -9.3996392014119E+00 -5.7130586807858E-01
  1.1733333333333E+00 -8.8266666666667E+00 -9.4177952485068E+00 -5.9112858184010E-01
  1.1750000000000E+00 -8.8250000000000E+00 -9.4359488253552E+00 -6.1094882535521E-01
  1.1766666666667E+00 -8.8233333333333E+00 -9.4540999323689E+00 -6.3076659903552E-01
  1.1783333333333E+00 -8.8216666666667E+00 -9.4722485699594E+00 -6.5058190329270E-01
  1.1800000000000E+00 -8.8200000000000E+00 -9.4903947385383E+00 -6.7039473853826E-01
  1.1816666666667E+00 -8.8183333333333E+00 -9.5085384385170E+00 -6.9020510518368E-01
  1.1833333333333E+00 -8.8166666666667E+00 -9.5266796703070E+00 -7.1001300364033E-01
  1.1850000000000E+00 -8.8150000000000E+00 -9.5448184343196E+00 -7.2981843431957E-01
  1.1866666666667E+00 -8.8133333333333E+00 -9.5629547309660E+00 -7.4962139763264E-01
  1.1883333333333E+00 -8.8116666666667E+00 -9.5810885606574E+00 -7.6942189399074E-01
  1.1900000000000E+00 -8.8100000000000E+00 -9.5992199238050E+00 -7.8921992380498E-01
  1.1916666666667E+00 -8.8083333333333E+00 -9.6173488208198E+00 -8.0901548748648E-01
  1.1933333333333E+00 -8.8066666666667E+00 -9.6354752521128E+00 -8.2880858544614E-01
  1.1950000000000E+00 -8.8050000000000E+00 -9.6535992180950E+00 -8.4859921809495E-01
  1.1966666666667E+00 -8.8033333333333E+00 -9.6717207191771E+00 -8.6838738584373E-01
  1.1983333333333E+00 -8.8016666666667E+00 -9.6898397557699E+00 -8.8817308910325E-01
  1.2000000000000E+00 -8.8000000000000E+00 -9.7079563282843E+00 -9.0795632828424E-01
  1.2016666666667E+00 -8.7983333333333E+00 -9.7260704371307E+00 -9.2773710379737E-01
  1.2033333333333E+00 -8.7966666666667E+00 -9.7441820827198E+00 -9.4751541605316E-01
  1.2050000000000E+00 -8.7950000000000E+00 -9.7622912654622E+00 -9.6729126546217E-01
  1.2066666666667E+00 -8.7933333333333E+00 -9.7803979857681E+00 -9.8706465243481E-01
  1.2083333333333E+00 -8.7916666666667E+00 -9.7985022440481E+00 -1.0068355773815E+00
  1.2100000000000E+00 -8.7900000000000E+00 -9.8166040407124E+00 -1.0266040407124E+00
  1.2116666666667E+00 -8.7883333333333E+00 -9.8347033761713E+00 -1.0463700428380E+00
  1.2133333333333E+00 -8.7866666666667E+00 -9.8528002508349E+00 -1.0661335841682E+00
  1.2150000000000E+00 -8.7850000000000E+00 -9.8708946651133E+00 -1.0858946651133E+00
  1.2166666666667E+00 -8.7833333333333E+00 -9.8889866194165E+00 -1.1056532860832E+00
  1.2183333333333E+00 -8.7816666666667E+00 -9.9070761141545E+00 -1.1254094474879E+00
  1.2200000000000E+00 -8.7800000000000E+00 -9.9251631497373E+00 -1.1451631497373E+00
  1.2216666666667E+00 -8.7783333333333E+00 -9.9432477265746E+00 -1.1649143932412E+00
  1.2233333333333E+00 -8.7766666666667E+00 -9.9613298450761E+00 -1.1846631784095E+00
  1.2250000000000E+00 -8.7750000000000E+00 -9.9794095056516E+00 -1.2044095056516E+00
  1.2266666666667E+00 -8.7733333333333E+00 -9.9974867087108E+00 -1.2241533753774E+00
  1.2283333333333E+00 -8.7716666666667E+00 -1.0015561454663E+01 -1.2438947879964E+00
  1.2300000000000E+00 -8.7700000000000E+00 -1.0033633743918E+01 -1.2636337439179E+00
  1.2316666666667E+00 -8.7683333333333E+00 -1.0051703576885E+01 -1.2833702435515E+00
  1.2333333333333E+00 -8.7666666666667E+00 -1.0069770953973E+01 -1.3031042873065E+00
  1.2350000000000E+00 -8.7650000000000E+00 -1.0087835875592E+01 -1.3228358755921E+00
  1.2366666666667E+00 -8.7633333333333E+00 -1.0105898342151E+01 -1.3425650088177E+00
  1.2383333333333E+00 -8.7616666666667E+00 -1.0123958354059E+01 -1.3622916873923E+00
  1.2400000000000E+00 -8.7600000000000E+00 -1.0142015911725E+01 -1.3820159117249E+00
  1.2416666666667E+00 -8.7583333333333E+00 -1.0160071015558E+01 -1.4017376822247E+00
  1.2433333333333E+00 -8.7566666666667E+00 -1.0178123665967E+01 -1.4214569993005E+00
  1.2450000000000E+00 -8.7550000000000E+00 -1.0196173863361E+01 -1.4411738633612E+00
  1.2466666666667E+00 -8.7533333333333E+00 -1.0214221608149E+01 -1.4608882748156E+00
  1.2483333333333E+00 -8.7516666666667E+00 -1.0232266900739E+01 -1.4806002340725E+00
  1.2500000000000E+00 -8.7500000000000E+00 -1.0250309741540E+01 -1.5003097415404E+00
  1.2516666666667E+00 -8.7483333333333E+00 -1.0268350130961E+01 -1.5200167976281E+00
  1.2533333333333E+00 -8.7466666666667E+00 -1.0286388069411E+01 -1.5397214027441E+00
  1.2550000000000E+00 -8.7450000000000E+00 -1.0304423557297E+01 -1.5594235572967E+00
  1.2566666666667E+00 -8.7433333333333E+00 -1.0322456595028E+01 -1.5791232616944E+00
  1.2583333333333E+00 -8.7416666666667E+00 -1.0340487183012E+01 -1.5988205163456E+00
  1.2600000000000E+00 -8.7400000000000E+00 -1.0358515321658E+01 -1.6185153216584E+00
  1.2616666666667E+00 -8.7383333333333E+00 -1.0376541011374E+01 -1.6382076780411E+00
  1.2633333333333E+00 -8.7366666666667E+00 -1.0394564252568E+01 -1.6578975859018E+00
  1.2650000000000E+00 -8.7350000000000E+00 -1.0412585045648E+01 -1.6775850456485E+00
  1.2666666666667E+00 -8.7333333333333E+00 -1.0430603391023E+01 -1.6972700576892E+00
  1.2683333333333E+00 -8.7316666666667E+00 -1.0448619289099E+01 -1.7169526224318E+00
  1.2700000000000E+00 -8.7300000000000E+00 -1.0466632740284E+01 -1.7366327402843E+00
  1.2716666666667E+00 -8.7283333333333E+00 -1.0484643744988E+01 -1.7563104116543E+00
  1.2733333333333E+00 -8.7266666666667E+00 -1.0502652303616E+01 -1.7759856369497E+00
  1.2750000000000E+00 -8.7250000000000E+00 -1.0520658416578E+01 -1.7956584165779E+00
  1.2766666666667E+00 -8.7233333333333E+00 -1.0538662084280E+01 -1.8153287509466E+00
  1.2783333333333E+00 -8.7216666666667E+00 -1.0556663307130E+01 -1.8349966404634E+00
  1.2800000000000E+00 -8.7200000000000E+00 -1.0574662085536E+01 -1.8546620855356E+00
  1.2816666666667E+00 -8.7183333333333E+00 -1.0592658419904E+01 -1.8743250865707E+00
  1.2833333333333E+00 -8.7166666666667E+00 -1.0610652310643E+01 -1.8939856439759E+00
  1.2850000000000E+00 -8.7150000000000E+00 -1.0628643758158E+01 -1.9136437581584E+00
  1.2866666666667E+00 -8.7133333333333E+00 -1.0646632762859E+01 -1.9332994295255E+00
  1.2883333333333E+00 -8.7116666666667E+00 -1.0664619325151E+01 -1.9529526584843E+00
  1.2900000000000E+00 -8.7100000000000E+00 -1.0682603445442E+01 -1.9726034454417E+00
  1.2916666666667E+00 -8.7083333333333E+00 -1.0700585124138E+01 -1.9922517908047E+00
  1.2933333333333E+00 -8.7066666666667E+00 -1.0718564361647E+01 -2.0118976949804E+00
  1.2950000000000E+00 -8.7050000000000E+00 -1.0736541158375E+01 -2.0315411583754E+00
  1.2966666666667E+00 -8.7033333333333E+00 -1.0754515514730E+01 -2.0511821813965E+00
  1.2983333333333E+00 -8.7016666666667E+00 -1.0772487431117E+01 -2.0708207644504E+00
  1.3000000000000E+00 -8.7000000000000E+00 -1.0790456907944E+01 -2.0904569079439E+00
  1.3016666666667E+00 -8.6983333333333E+00 -1.0808423945617E+01 -2.1100906122833E+00
  1.3033333333333E+00 -8.6966666666667E+00 -1.0826388544542E+01 -2.1297218778753E+00
  1.3050000000000E+00 -8.6950000000000E+00 -1.0844350705126E+01 -2.1493507051262E+00
  1.3066666666667E+00 -8.6933333333333E+00 -1.0862310427776E+01 -2.1689770944423E+00
  1.3083333333333E+00 -8.6916666666667E+00 -1.0880267712897E+01 -2.1886010462301E+00
